text,label
"A post claims compulsory vacination violates the principles of bioethics, that coronavirus doesnâ€™t exist, that the PCR test returns many false positives, and that influenza vaccine is related to COVID-19.",FAKE
A photo claims that this person is a doctor who died after attending to too many COVID-19 patinents in Hospital MuÃ±iz in Buenos Aires.,FAKE
Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),FAKE
"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.",FAKE
The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic donâ€™t spread coronavirus.,FAKE
"Households with COVID-19 patients in Porto Alegre, Campo Grande and Santo AntÃ´nio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way",FAKE
A chain lists recommendations to prevent and treat coronavirus.,FAKE
"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government",FAKE
Social media posts criticize a photo from smiling president of the Goverment Pedro SÃ¡nchez during his holidays after thousands died from COVID-19,FAKE
CDC has released an update on how the novel coronavirus can be transmitted,FAKE
Good oral hygiene destroys the coronavirus and prevents its spread,FAKE
A video shows Pakistani minister of Health slapping those who do not obey official measures,FAKE
"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul",FAKE
WHO warns against consuming cabbage to prevent COVID-19,FAKE
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,FAKE
There is evidence that chlorine dioxide cures COVID-19,FAKE
A video shows Pakistani minister of Health slapping those who do not obey official measures,FAKE
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,FAKE
Coronavirus does not settle in air but is grounded â€“ UNICEF,FAKE
Coronavirus does not float in air but is grounded â€“ UNICEF,FAKE
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œRight now [there is] a strict quarantine in Barcelonaâ€",FAKE
A list of alleged remedies to treat coronavirus.,FAKE
Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry â€“ UNICEF,FAKE
COVID-19 is being controlled in Africa because of widespread distribution of ivermectin,FAKE
A post claims that PCR test â€œcause damage to the blood-brain barrierâ€ or â€œcreate a direct entrance to the brain for any infection.â€,FAKE
Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures.,FAKE
Covid â€“ 19 is a bacteria amplified by 5G technology,FAKE
A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid.,FAKE
A photo shows hand sanitizer being sold in a vitamin D box,FAKE
"There was a 78% fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT",FAKE
A photo collage claims to show images taken during a protest against coronavirus restrictions in Germany in August 2020.,FAKE
Police can raid private spaces in MedellÃ­n for breach of the Dry Law,FAKE
A post showing a health worker from the MuÃ±iz Hospital (Argentina) who died from treating patients with COVID-19,FAKE
Fact Check: Neither The Viral Post On Coronavirus (COVID-19) Is From UNICEF Nor It Is Accurate,FAKE
COVID-19 vaccines will cause infertility â€“ do not get vaccinated,FAKE
A video supposedly showing a dead COVID-19 victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,FAKE
COVID-19 has its own pH value,FAKE
â€˜Doctors for the truthâ€™ make claims about the coronavirus.,FAKE
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,FAKE
"There was a 30% fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",FAKE
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,FAKE
The WHO said â€œthere is no solution and perhaps never will beâ€ for coronavirus.,FAKE
"Fact Check: No, COVID-19 Doesnâ€™t Have Its Own PH Value, Experts Advice Boosting Immunity To Fight Against Coronavirus",FAKE
An image states that mask use causes pneumonia and hypoxia,FAKE
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,FAKE
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,FAKE
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,FAKE
"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.",FAKE
"Mask can cause a lot of diseases, the WHO has said, and asymptomatic patients donâ€™t pass on the virus. Also, there is a lot of false positive PCR tests.",FAKE
An image from an episode of Futurama claims the show forbade time to travel back to 2020.,FAKE
Photo from the demonstration against meassures by the German government to stop the pandemic.,FAKE
Spanish Prime Minister Pedro Sanchez told people to invest in Bitcoin during the pandemic,FAKE
"A video shows a mannequin being taken out of an ambulance, and claims the media is trying to fool the audience to make them think itâ€™s a COVID-19 patient.",FAKE
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Covid-19 pandemic.",FAKE
"Facebook posts shared thousands of times claim Washingtonâ€™s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a â€œhigh-riskâ€ state for the coronavirus.",FAKE
"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.",FAKE
A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020.,FAKE
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,FAKE
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the â€œHealth dictatorshipâ€ imposed by the government to stop the Covid-19 pandemic.",FAKE
"List of substances that cure coronavirus, according to a Cali doctor.",FAKE
Adidas is giving away face masks.,FAKE
A street protest criticizing Japanese Prime Minister Shinzo Abeâ€™s government is the source of the â€œnight life city clusterâ€,FAKE
63 intensive care beds were occupied by infected protesters,FAKE
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,FAKE
An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada,FAKE
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",FAKE
"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus â€œis not naturalâ€",FAKE
The vaccine against the new coronavirus has existed since 2001,FAKE
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,FAKE
A post that claims that cigarette smoke transmits the coronavirus,FAKE
Adidas is giving away face masks.,FAKE
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",FAKE
South Korea study finds quarantines useless in combating COVID-19,FAKE
Multiple Facebook posts shared hundreds of times claim â€œviruses do not harm or kill [people]â€ and that any â€œharm and deathâ€ caused by a virus can be attributed to â€œthe overreaction of a weakened and dysfunctional immune systemâ€.,FAKE
63 intensive care beds were occupied by infected protesters,FAKE
The new coronavirus vaccine has â€œdigitizable RNAâ€ that is â€œactivated by 5Gâ€ and can reactivate the virus.,FAKE
"Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including coronaviruses.",FAKE
"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19",FAKE
"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any COVID-19 patient",FAKE
"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",FAKE
The vaccine against the new coronavirus has existed since 2001,FAKE
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,FAKE
"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded COVID-19 death.",FAKE
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,FAKE
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",FAKE
"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected",FAKE
Gargling water mixed with salt or vinegar will get rid of the novel coronavirus from oneâ€™s throat.,FAKE
A doctor claims most Belgians are immune to COVID-19,FAKE
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",FAKE
An image claims that an immigrant who tested â€œpositive for COVID-19â€ and â€œarrived in a boat yesterdayâ€ has fled in the Calpe area (Alicante). The alleged escapeeâ€™s full name as well as the photo of the alleged escape appear in the image. It also claims the man fled the El Matorral detention center.,FAKE
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",FAKE
"During COVID-19 PCR test, microships are integrated to human bodies",FAKE
Chloroquine is the cure for COVID-19 and masks should not be used.,FAKE
The flu vaccine caused the spread of COVID-19.,FAKE
A post claims several medicine combinations cure COVID-19,FAKE
Chlorine dioxide removes the coronavirus from the body within 48 hours,FAKE
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",FAKE
Wearing a mask lowers the blood oxygen level.,FAKE
"Philippine Education Secretary Leonor Briones is shown quoted as saying classes will resume on Aug. 24 amid the COVID-19 pandemic and that â€œif we die, we die.â€",FAKE
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",FAKE
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",FAKE
Wearing a mask lowers the blood oxygen level.,FAKE
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",FAKE
"A doctor recommends the use of ivermectin, hydroxychloroquine, chlorine dioxide and interferon to cure coronavirus.",FAKE
CoronaVac uses cells from aborted fetuses.,FAKE
"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Frontline Doctors.",FAKE
